Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.15,trig,-0.4,P2,line,-0.04,0.04,72,img/trig/line/s0.15m-0.4/,0
0.1,quad,-0.4,P2,area,0.11,0.11,73,img/quad/area/s0.1m-0.4/,0
0.2,line,0.2,P2,area,0.14,0.14,74,img/line/area/s0.2m0.2/,0
0.15,quad,0.1,P2,area,0.11,0.11,75,img/quad/area/s0.15m0.1/,0
0.01,line,-0.4,P2,area,0,0,76,img_validation/line/area/s0.1m-0.4/,1
0.2,trig,-0.4,P2,area,-0.05,0.05,77,img/trig/area/s0.2m-0.4/,0
0.1,line,0.8,P2,line,-0.04,0.04,78,img/line/line/s0.1m0.8/,0
0.15,trig,0.1,P2,scatter,0.08,0.08,79,img/trig/scatter/s0.15m0.1/,0
0.2,quad,0.1,P2,scatter,-0.02,0.02,80,img/quad/scatter/s0.2m0.1/,0
0.2,line,-0.1,P2,scatter,-0.05,0.05,81,img/line/scatter/s0.2m-0.1/,0
0.05,quad,-0.2,P2,scatter,-0.04,0.04,82,img/quad/scatter/s0.05m-0.2/,0
0.15,trig,-0.1,P2,line,-0.04,0.04,83,img/trig/line/s0.15m-0.1/,0
0.05,line,0.4,P2,line,0.02,0.02,84,img/line/line/s0.05m0.4/,0
0.15,trig,-0.2,P2,area,-0.06,0.06,85,img/trig/area/s0.15m-0.2/,0
0.05,quad,-0.2,P2,line,-0.06,0.06,86,img/quad/line/s0.05m-0.2/,0
0.05,line,0.4,P2,scatter,0.04,0.04,87,img/line/scatter/s0.05m0.4/,0
0.15,quad,-0.1,P2,scatter,-0.13,0.13,88,img/quad/scatter/s0.15m-0.1/,0
0.15,trig,0.8,P2,line,0.07,0.07,89,img/trig/line/s0.15m0.8/,0
0.1,line,0.4,P2,scatter,0.01,0.01,90,img/line/scatter/s0.1m0.4/,0
0.15,trig,0.4,P2,area,0.12,0.12,91,img/trig/area/s0.15m0.4/,0
0.05,quad,0.8,P2,area,0,0,92,img/quad/area/s0.05m0.8/,0
0.15,line,-0.4,P2,scatter,-0.14,0.14,93,img/line/scatter/s0.15m-0.4/,0
0.2,quad,0.4,P2,area,0.18,0.18,94,img/quad/area/s0.2m0.4/,0
0.1,trig,0.1,P2,scatter,0.07,0.07,95,img/trig/scatter/s0.1m0.1/,0
0.05,line,0.1,P2,area,-0.01,0.01,96,img/line/area/s0.05m0.1/,0
0.15,trig,-0.2,P2,line,-0.02,0.02,97,img/trig/line/s0.15m-0.2/,0
0.2,quad,0.2,P2,line,0.14,0.14,98,img/quad/line/s0.2m0.2/,0
0.2,line,-0.4,P2,scatter,0.05,0.05,99,img/line/scatter/s0.2m-0.4/,0
